composite_key,category,filename,relative_path,raw_url
sachets-sachets 1,Sachets,Sachets 1.jpeg,assets/images/Sachets/Sachets 1.jpeg,https://raw.githubusercontent.com/MidoN37/pharma-data-viewer/master/assets/images/Sachets/Sachets 1.jpeg
comprimes_antalgiques-normogastryl,Comprimes antalgiques,Normogastryl.jpeg,assets/images/Comprimes antalgiques/Normogastryl.jpeg,https://raw.githubusercontent.com/MidoN37/pharma-data-viewer/master/assets/images/Comprimes antalgiques/Normogastryl.jpeg
comprimes_antalgiques-brufen,Comprimes antalgiques,Brufen.jpeg,assets/images/Comprimes antalgiques/Brufen.jpeg,https://raw.githubusercontent.com/MidoN37/pharma-data-viewer/master/assets/images/Comprimes antalgiques/Brufen.jpeg
comprimes_antalgiques-cedol,Comprimes antalgiques,Cedol.jpeg,assets/images/Comprimes antalgiques/Cedol.jpeg,https://raw.githubusercontent.com/MidoN37/pharma-data-viewer/master/assets/images/Comprimes antalgiques/Cedol.jpeg
comprimes_antalgiques-claradol,Comprimes antalgiques,Claradol.jpg,assets/images/Comprimes antalgiques/Claradol.jpg,https://raw.githubusercontent.com/MidoN37/pharma-data-viewer/master/assets/images/Comprimes antalgiques/Claradol.jpg
comprimes_antalgiques-nautamine,Comprimes antalgiques,Nautamine.jpeg,assets/images/Comprimes antalgiques/Nautamine.jpeg,https://raw.githubusercontent.com/MidoN37/pharma-data-viewer/master/assets/images/Comprimes antalgiques/Nautamine.jpeg
comprimes_antalgiques-dolamine,Comprimes antalgiques,Dolamine.jpg,assets/images/Comprimes antalgiques/Dolamine.jpg,https://raw.githubusercontent.com/MidoN37/pharma-data-viewer/master/assets/images/Comprimes antalgiques/Dolamine.jpg
comprimes_antalgiques-bourget inositol,Comprimes antalgiques,Bourget Inositol.jpeg,assets/images/Comprimes antalgiques/Bourget Inositol.jpeg,https://raw.githubusercontent.com/MidoN37/pharma-data-viewer/master/assets/images/Comprimes antalgiques/Bourget Inositol.jpeg
comprimes_antalgiques-aspirine vitaminée,Comprimes antalgiques,Aspirine Vitaminée.jpeg,assets/images/Comprimes antalgiques/Aspirine Vitaminée.jpeg,https://raw.githubusercontent.com/MidoN37/pharma-data-viewer/master/assets/images/Comprimes antalgiques/Aspirine Vitaminée.jpeg
comprimes_antalgiques-nurodol,Comprimes antalgiques,Nurodol.jpeg,assets/images/Comprimes antalgiques/Nurodol.jpeg,https://raw.githubusercontent.com/MidoN37/pharma-data-viewer/master/assets/images/Comprimes antalgiques/Nurodol.jpeg
